Variable (EN),Variable (CN),Subset (rho),Subset (TOST p),Mechanism (rho),Mechanism (TOST p),RCC (rho),RCC (TOST p),Placebo (paired t),Placebo (p-value),Overall Result
Open_Back,背景开阔度,0.946,0.000,0.944,0.000,0.938,0.000,0.000,0.000,Pass
Sound_Nature,自然声,0.959,0.000,0.948,0.000,0.955,0.000,-0.000,0.000,Pass
Water_Fore,前景水体,0.861,0.000,0.885,0.972,0.855,0.000,-0.000,0.000,Fail
Disturb_Fore,前景干扰,0.968,0.000,0.952,0.000,0.966,0.000,-0.000,0.000,Pass
Image_Fore,前景建筑,0.683,0.000,0.545,1.000,0.683,0.000,0.000,0.000,Fail
Enclose_Fore,前景围合,0.925,0.000,0.917,0.000,0.956,0.000,0.000,0.000,Pass
Green_Mid,中景绿化,0.913,0.000,0.832,0.000,0.889,0.000,0.000,0.959,Pass
Water_Mid,中景水体,0.919,0.000,0.930,0.000,0.931,0.000,-0.000,0.243,Pass
Disturb_Mid,中景干扰,0.918,0.000,0.951,0.000,0.948,0.000,-0.000,0.273,Pass
Image_Mid,中景建筑,0.366,0.000,0.475,1.000,0.541,0.000,-0.000,0.002,Fail
Image_Back,背景建筑,0.633,0.000,-0.037,1.000,0.617,0.000,-0.000,0.021,Fail
Disturb_Back,背景干扰,0.776,0.991,0.792,0.000,0.811,0.000,0.000,0.000,Fail
Vis_Bright,视觉亮度,0.609,0.154,0.855,0.000,0.768,0.000,-0.000,0.000,Fail
Vis_Contrast,视觉对比度,0.754,0.000,0.909,0.000,0.930,0.000,0.000,0.000,Fail
Vis_Sat,视觉饱和度,0.957,0.000,0.956,0.000,0.967,0.000,-0.000,0.098,Pass
Vis_Colors,视觉色彩,0.956,0.000,0.921,0.000,0.961,0.000,-0.000,0.003,Pass
Complex_Fore,前景复杂度,0.966,0.000,0.973,0.000,0.970,0.000,0.000,0.038,Pass
Complex_Mid,中景复杂度,0.742,0.000,0.775,0.000,0.892,0.000,0.000,0.000,Fail
Complex_Back,背景复杂度,0.939,0.000,0.967,0.000,0.954,0.000,-0.000,0.040,Pass
Sound_Traffic,交通声,0.408,1.000,-0.147,0.998,0.517,0.000,0.000,0.000,Fail
Sound_Quiet,安静感,0.532,0.000,0.447,0.000,0.600,0.000,0.000,0.000,Fail
Sound_Human,人声,0.978,0.000,0.989,0.000,0.982,0.000,-0.000,0.217,Pass
Aud_LAeq,等效声压级,0.967,0.000,0.931,0.000,0.969,0.000,-0.000,0.000,Pass
Aud_Sharp,尖锐度,0.943,0.000,0.915,0.000,0.946,0.000,0.000,0.000,Pass
Aud_Rough,粗糙度,0.390,0.000,0.445,0.000,0.320,0.000,-0.000,0.000,Fail
Aud_Fluc,波动强度,0.592,1.000,0.518,0.000,0.633,0.000,0.000,0.012,Fail
